supplier,item_category,order_status,compliance,quantity,order_date,delivery_date,delivery_lead_time,unit_price,negotiated_price,actual_spend,savings_per_unit,total_savings,savings_percentage,defective_units,defect_rate
Alpha_Inc,Office Supplies,Cancelled,Yes,1176,2023-10-17,2023-10-25,8.0,20.13,17.81,20944.559999999998,2.32,2728.32,11.53,,
Delta_Logistics,Office Supplies,Delivered,Yes,1509,2022-04-25,2022-05-05,10.0,39.32,37.34,56346.060000000005,1.98,2987.82,5.04,235.0,15.573227302849569
Gamma_Co,MRO,Delivered,Yes,910,2022-01-26,2022-02-15,20.0,95.51,92.26,83956.6,3.25,2957.5,3.4000000000000004,41.0,4.5054945054945055
Beta_Supplies,Packaging,Delivered,Yes,1344,2022-10-09,2022-10-28,19.0,99.85,95.52,128378.87999999999,4.33,5819.52,4.34,112.0,8.333333333333332
Delta_Logistics,Raw Materials,Delivered,No,1180,2022-09-08,2022-09-20,12.0,64.07,60.53,71425.4,3.54,4177.2,5.53,171.0,14.491525423728813
Epsilon_Group,MRO,Delivered,Yes,1145,2022-08-17,2022-08-29,12.0,69.21,63.57,72787.65,5.64,6457.8,8.15,39.0,3.406113537117904
Gamma_Co,MRO,Delivered,No,1774,2022-05-23,2022-06-03,11.0,51.37,47.82,84832.68000000001,3.55,6297.7,6.909999999999999,96.0,5.411499436302142
Alpha_Inc,MRO,Delivered,Yes,1094,2022-04-15,2022-04-29,14.0,36.93,32.78,35861.32,4.15,4540.1,11.24,22.0,2.010968921389397
Gamma_Co,Raw Materials,Partially Delivered,Yes,1688,2023-11-24,2023-11-28,4.0,43.93,39.89,67334.32,4.04,6819.52,9.2,89.0,
Gamma_Co,Raw Materials,Pending,Yes,171,2023-07-13,2023-07-25,12.0,76.87,70.2,12004.2,6.67,1140.57,8.68,8.0,
Epsilon_Group,Raw Materials,Delivered,Yes,5000,2022-03-31,2022-04-15,15.0,78.49,73.68,368400.00000000006,4.81,24050.0,6.13,18.0,0.36
Beta_Supplies,Raw Materials,Delivered,Yes,5000,2023-08-28,2023-09-11,14.0,88.96,86.58,432900.0,2.38,11900.0,2.68,115.0,2.3
Beta_Supplies,Electronics,Pending,Yes,5000,2023-03-09,2023-03-26,17.0,86.74,74.86,374300.0,11.88,59400.0,13.700000000000001,51.0,
Beta_Supplies,MRO,Delivered,Yes,5000,2022-02-02,,,18.3,16.88,84400.0,1.42,7100.0,7.76,,
Delta_Logistics,Electronics,Pending,Yes,5000,2022-01-31,2022-02-18,18.0,54.5,48.45,242250.0,6.05,30250.0,11.1,22.0,
Beta_Supplies,Packaging,Delivered,Yes,5000,2022-04-06,2022-04-21,15.0,15.41,15.12,75600.0,0.29,1450.0,1.8800000000000001,,
Delta_Logistics,MRO,Delivered,No,1173,2022-08-12,2022-08-31,19.0,61.54,55.49,65089.770000000004,6.05,7096.65,9.83,172.0,14.663256606990622
Epsilon_Group,Raw Materials,Delivered,Yes,921,2022-08-27,2022-09-04,8.0,51.48,50.61,46611.81,0.87,801.27,1.69,,
Gamma_Co,Raw Materials,Partially Delivered,Yes,1737,2023-06-02,2023-06-05,3.0,97.53,87.37,151761.69,10.16,17647.92,10.42,79.0,
Delta_Logistics,Raw Materials,Delivered,No,180,2023-09-09,2023-09-24,15.0,45.74,38.89,7000.2,6.85,1233.0,14.979999999999999,,
Epsilon_Group,Electronics,Cancelled,Yes,1735,2022-01-28,2022-02-12,15.0,20.54,19.69,34162.15,0.85,1474.75,4.14,49.0,
Delta_Logistics,Raw Materials,Delivered,Yes,1382,2023-07-29,2023-08-11,13.0,24.93,23.75,32822.5,1.18,1630.76,4.73,,
Epsilon_Group,MRO,Delivered,Yes,819,2022-07-23,2022-08-08,16.0,80.89,77.03,63087.57,3.86,3161.34,4.77,29.0,3.5409035409035408
Beta_Supplies,Office Supplies,Partially Delivered,No,393,2023-10-28,2023-11-03,6.0,72.53,66.31,26059.83,6.22,2444.46,8.58,42.0,
Beta_Supplies,MRO,Delivered,Yes,1565,2023-12-20,2024-01-01,12.0,21.3,20.09,31440.85,1.21,1893.65,5.680000000000001,161.0,10.287539936102236
Epsilon_Group,Packaging,Delivered,Yes,1487,2023-07-13,2023-07-24,11.0,19.15,17.24,25635.879999999997,1.91,2840.17,9.969999999999999,,
Alpha_Inc,MRO,Delivered,Yes,855,2023-03-06,2023-03-26,20.0,78.2,67.16,57421.799999999996,11.04,9439.2,14.12,17.0,1.9883040935672516
Epsilon_Group,Raw Materials,Delivered,Yes,435,2022-08-14,2022-08-23,9.0,17.13,15.84,6890.4,1.29,561.15,7.53,8.0,1.839080459770115
Delta_Logistics,MRO,Delivered,Yes,1265,2023-04-05,2023-04-22,17.0,90.26,79.47,100529.55,10.79,13649.35,11.95,187.0,14.782608695652174
Epsilon_Group,MRO,Delivered,Yes,1005,2023-08-27,,,80.55,73.31,73676.55,7.24,7276.2,8.99,30.0,
Gamma_Co,Electronics,Delivered,No,326,2022-10-12,2022-10-26,14.0,18.1,15.92,5189.92,2.18,710.68,12.04,,
Alpha_Inc,Office Supplies,Delivered,Yes,1234,2022-01-07,2022-01-15,8.0,17.64,15.66,19324.44,1.98,2443.32,11.219999999999999,26.0,2.106969205834684
Epsilon_Group,MRO,Delivered,Yes,509,2022-06-13,2022-06-29,16.0,101.27,97.82,49790.38,3.45,1756.05,3.4099999999999997,19.0,3.732809430255403
Alpha_Inc,Packaging,Delivered,Yes,1387,2023-12-16,2023-12-17,1.0,48.71,43.71,60625.770000000004,5.0,6935.0,10.26,27.0,1.9466474405191059
Alpha_Inc,MRO,Delivered,Yes,71,2023-03-09,2023-03-17,8.0,46.39,43.18,3065.78,3.21,227.91,6.92,0.0,0.0
Epsilon_Group,Office Supplies,Delivered,Yes,302,2022-12-15,2022-12-23,8.0,87.73,81.52,24619.039999999997,6.21,1875.42,7.08,9.0,2.980132450331126
Epsilon_Group,Office Supplies,Pending,Yes,797,2022-10-12,2022-10-31,19.0,99.54,91.37,72821.89,8.17,6511.49,8.21,18.0,
Beta_Supplies,Office Supplies,Pending,Yes,906,2022-06-09,2022-06-27,18.0,101.21,90.9,82355.40000000001,10.31,9340.86,10.190000000000001,94.0,
Epsilon_Group,Office Supplies,Delivered,Yes,1634,2022-08-09,2022-08-23,14.0,80.53,76.15,124429.1,4.38,7156.92,5.4399999999999995,50.0,3.0599755201958385
Epsilon_Group,Office Supplies,Delivered,Yes,524,2022-12-11,,,46.28,39.65,20776.6,6.63,3474.12,14.330000000000002,14.0,
Beta_Supplies,Electronics,Delivered,Yes,1132,2022-04-15,2022-04-27,12.0,17.78,15.36,17387.52,2.42,2739.44,13.61,96.0,8.480565371024735
Beta_Supplies,Office Supplies,Delivered,No,560,2022-04-05,2022-04-14,9.0,81.14,77.87,43607.200000000004,3.27,1831.2,4.03,34.0,6.071428571428571
Gamma_Co,Electronics,Delivered,Yes,1755,2023-01-25,2023-02-02,8.0,63.87,58.4,102492.0,5.47,9599.85,8.559999999999999,85.0,4.843304843304843
Epsilon_Group,MRO,Delivered,Yes,1549,2022-04-10,2022-04-17,7.0,48.9,42.42,65708.58,6.48,10037.52,13.25,48.0,3.0987734021949644
Delta_Logistics,MRO,Delivered,Yes,749,2023-01-03,2023-01-21,18.0,97.07,94.16,70525.84,2.91,2179.59,3.0,123.0,16.421895861148197
Alpha_Inc,Electronics,Delivered,Yes,1025,2022-12-19,,,21.11,19.25,19731.25,1.86,1906.5,8.81,15.0,
Beta_Supplies,Raw Materials,Delivered,Yes,1856,2023-09-11,2023-09-18,7.0,59.77,50.81,94303.36,8.96,16629.76,14.99,191.0,10.29094827586207
